OrderDate,Product,Region,Units_Sold,Unit_Price,Total_Sales,Quantity,Total
2023-02-21,Phone,South,12,1995,23940,12,23940
2023-04-03,Laptop,East,5,785,3925,5,3925
2023-01-15,Headphones,South,37,1915,70855,37,70855
2023-03-13,Headphones,East,32,725,23200,32,23200
2023-03-02,Headphones,North,9,1411,12699,9,12699
2023-01-21,Monitor,North,41,953,39073,41,39073
2023-03-24,Laptop,North,35,1786,62510,35,62510
2023-03-28,Monitor,West,19,1061,20159,19,20159
2023-03-16,Monitor,North,48,1762,84576,48,84576
2023-03-16,Laptop,East,16,254,4064,16,4064
2023-03-29,Laptop,North,3,589,1767,3,1767
2023-04-10,Laptop,South,20,1509,30180,20,30180
2023-01-24,Laptop,South,24,884,21216,24,21216
2023-01-03,Headphones,West,33,1227,40491,33,40491
2023-01-22,Tablet,South,24,1516,36384,24,36384
2023-02-22,Tablet,East,11,1934,21274,11,21274
2023-01-02,Laptop,North,49,345,16905,49,16905
2023-03-29,Tablet,West,8,1299,10392,8,10392
2023-01-30,Tablet,North,36,1162,41832,36,41832
2023-02-07,Laptop,North,38,1600,60800,38,60800
2023-01-02,Tablet,East,40,1805,72200,40,72200
2023-03-05,Monitor,South,20,858,17160,20,17160
2023-03-01,Phone,South,35,637,22295,35,22295
2023-01-21,Phone,North,48,1990,95520,48,95520
2023-02-02,Laptop,West,25,1941,48525,25,48525
2023-03-17,Headphones,South,35,1020,35700,35,35700
2023-02-27,Laptop,West,25,507,12675,25,12675
2023-01-22,Headphones,South,29,624,18096,29,18096
2023-03-30,Phone,West,18,927,16686,18,16686
2023-02-18,Laptop,East,46,1629,74934,46,74934
2023-04-01,Monitor,West,18,1002,18036,18,18036
2023-02-28,Tablet,East,2,1948,3896,2,3896
2023-02-11,Headphones,East,35,135,4725,35,4725
2023-04-02,Tablet,West,16,784,12544,16,12544
2023-03-01,Tablet,East,41,119,4879,41,4879
2023-03-21,Laptop,North,36,420,15120,36,15120
2023-01-15,Tablet,East,33,1899,62667,33,62667
2023-03-03,Monitor,South,4,611,2444,4,2444
2023-03-03,Tablet,West,33,499,16467,33,16467
2023-02-16,Laptop,North,14,753,10542,14,10542
2023-03-03,Monitor,West,21,1071,22491,21,22491
2023-02-20,Phone,South,48,570,27360,48,27360
2023-02-24,Tablet,South,20,1266,25320,20,25320
2023-03-05,Laptop,South,8,1215,9720,8,9720
2023-01-03,Phone,East,7,1477,10339,7,10339
2023-02-20,Phone,East,3,933,2799,3,2799
2023-01-07,Headphones,West,17,1923,32691,17,32691
2023-01-21,Monitor,West,33,826,27258,33,27258
2023-03-14,Tablet,North,48,953,45744,48,45744
2023-02-08,Laptop,North,12,150,1800,12,1800
2023-01-18,Headphones,West,22,1788,39336,22,39336
2023-01-04,Monitor,East,22,1821,40062,22,40062
2023-03-30,Headphones,South,46,674,31004,46,31004
2023-03-01,Monitor,West,30,1313,39390,30,39390
2023-01-14,Monitor,North,38,1248,47424,38,47424
2023-01-09,Tablet,East,38,249,9462,38,9462
2023-03-31,Monitor,West,45,413,18585,45,18585
2023-02-22,Headphones,West,8,669,5352,8,5352
2023-01-02,Monitor,East,27,1465,39555,27,39555
2023-03-25,Tablet,West,27,404,10908,27,10908
2023-04-02,Tablet,East,34,1815,61710,34,61710
2023-03-01,Headphones,South,21,781,16401,21,16401
2023-03-12,Phone,East,30,937,28110,30,28110
2023-02-13,Phone,East,33,1906,62898,33,62898
2023-01-08,Monitor,East,28,1177,32956,28,32956
2023-02-16,Laptop,West,47,1102,51794,47,51794
2023-02-04,Monitor,West,33,543,17919,33,17919
2023-03-19,Headphones,East,5,712,3560,5,3560
2023-03-22,Headphones,West,48,1092,52416,48,52416
2023-02-05,Headphones,North,19,363,6897,19,6897
2023-02-19,Headphones,North,4,1176,4704,4,4704
2023-01-04,Headphones,West,35,1695,59325,35,59325
2023-01-02,Tablet,West,49,1103,54047,49,54047
2023-01-06,Phone,East,17,1743,29631,17,29631
2023-02-23,Headphones,South,44,104,4576,44,4576
2023-01-04,Laptop,West,28,1226,34328,28,34328
2023-02-23,Laptop,North,30,1319,39570,30,39570
2023-04-03,Laptop,East,29,873,25317,29,25317
2023-03-04,Laptop,West,46,976,44896,46,44896
2023-01-18,Tablet,North,6,1091,6546,6,6546
2023-03-31,Laptop,North,35,983,34405,35,34405
2023-02-13,Headphones,South,41,1473,60393,41,60393
2023-02-03,Monitor,East,37,146,5402,37,5402
2023-03-15,Laptop,East,24,966,23184,24,23184
2023-03-03,Tablet,South,29,922,26738,29,26738
2023-04-10,Tablet,South,49,1035,50715,49,50715
2023-01-14,Laptop,East,46,1943,89378,46,89378
2023-04-05,Monitor,East,31,755,23405,31,23405
2023-02-17,Laptop,West,35,368,12880,35,12880
2023-01-15,Tablet,West,33,469,15477,33,15477
2023-03-13,Phone,South,21,735,15435,21,15435
2023-03-19,Headphones,West,32,1229,39328,32,39328
2023-03-28,Tablet,North,23,1793,41239,23,41239
2023-03-03,Laptop,West,33,1782,58806,33,58806
2023-02-09,Headphones,West,3,756,2268,3,2268
2023-03-26,Laptop,North,18,219,3942,18,3942
2023-03-21,Laptop,South,25,930,23250,25,23250
2023-03-23,Phone,North,42,1910,80220,42,80220
2023-02-22,Headphones,West,31,1727,53537,31,53537
2023-01-24,Headphones,South,3,1181,3543,3,3543
